"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Christian McCaffrey","SF","RB1","216.1","984.8","7.2","74.6","617.1","4.1","0.5","227.0"
"Austin Ekeler","LAC","RB2","189.7","852.4","9.2","77.9","594.8","3.8","1.4","219.5"
"Nick Chubb","CLE","RB3","276.9","1,378.4","8.8","28.9","235.7","1.1","1.1","218.2"
"Derrick Henry","TEN","RB4","308.4","1,346.3","9.1","32.1","268.6","0.8","1.8","217.7"
"Tony Pollard","DAL","RB5","224.7","1,108.9","8.2","46.1","377.3","2.3","0.5","210.3"
"Josh Jacobs","LV","RB6","259.1","1,207.2","9.3","39.0","282.6","0.8","1.1","207.7"
"Bijan Robinson","ATL","RB7","244.9","1,159.5","8.4","40.6","327.5","1.9","1.9","207.0"
"Saquon Barkley","NYG","RB8","251.1","1,116.3","7.6","53.3","371.3","1.7","0.7","203.0"
"Justin Jefferson","MIN","WR1","3.6","18.9","0.3","111.3","1,487.9","7.8","0.3","198.7"
"Ja'Marr Chase","CIN","WR2","4.6","23.1","0.1","105.6","1,357.7","9.7","1.1","194.8"
"Tyreek Hill","MIA","WR3","8.8","53.1","0.5","106.5","1,366.6","7.6","0.3","190.0"
"Joe Mixon","CIN","RB9","224.8","936.3","7.2","49.6","358.8","2.0","0.6","183.5"
"Travis Kelce","KC","TE1","0.0","2.3","0.0","104.1","1,227.6","9.9","0.6","181.2"
"CeeDee Lamb","DAL","WR4","8.4","53.5","0.3","99.5","1,272.8","7.3","0.3","177.7"
"Aaron Jones","GB","RB10","198.1","969.1","5.3","49.3","363.9","2.5","1.3","177.5"
"Rhamondre Stevenson","NE","RB11","205.6","982.1","5.8","55.1","372.6","1.4","1.0","176.4"
"Davante Adams","LV","WR5","1.8","7.7","0.1","94.2","1,242.7","8.2","0.3","174.0"
"Najee Harris","PIT","RB12","250.4","989.2","6.3","38.2","253.0","2.1","0.9","172.7"
"Stefon Diggs","BUF","WR6","0.5","2.8","0.0","97.1","1,240.7","8.0","0.4","171.8"
"Travis Etienne Jr.","JAC","RB13","215.1","1,056.1","6.1","36.2","285.7","0.9","2.5","171.6"
"Cooper Kupp","LAR","WR7","7.6","71.3","0.8","99.7","1,185.1","7.1","0.7","171.5"
"Alexander Mattison","MIN","RB14","212.4","910.6","7.8","33.6","225.3","1.5","0.9","167.4"
"Kenneth Walker III","SEA","RB15","223.9","1,010.0","7.7","26.0","170.5","0.6","0.4","167.3"
"A.J. Brown","PHI","WR8","0.3","3.4","0.0","78.0","1,173.8","8.0","0.6","165.0"
"James Conner","ARI","RB16","210.9","891.7","6.5","40.8","294.9","1.1","0.8","162.6"
"Dameon Pierce","HOU","RB17","257.3","1,052.2","5.6","32.4","209.1","1.1","2.0","162.1"
"Jahmyr Gibbs","DET","RB18","175.7","768.2","6.2","44.6","345.3","1.9","1.4","157.4"
"J.K. Dobbins","BAL","RB19","172.9","900.8","6.7","24.9","174.1","1.6","0.4","156.6"
"Jaylen Waddle","MIA","WR9","4.0","33.7","0.2","80.8","1,147.8","6.2","0.7","155.6"
"Amon-Ra St. Brown","DET","WR10","7.9","61.7","0.5","101.3","1,128.8","5.6","0.2","155.0"
"Miles Sanders","CAR","RB20","214.0","984.8","5.6","29.6","201.1","0.7","1.4","154.1"
"Breece Hall","NYJ","RB21","170.1","800.0","5.3","36.2","318.7","1.8","1.1","152.1"
"Isiah Pacheco","KC","RB22","194.2","933.6","6.4","24.4","198.7","0.7","1.9","151.9"
"Garrett Wilson","NYJ","WR11","2.2","6.2","0.0","85.8","1,142.6","6.4","0.7","151.9"
"Cam Akers","MIN","RB23","229.4","954.7","6.1","24.0","193.9","0.6","2.1","150.7"
"Rachaad White","TB","RB24","202.3","821.0","4.5","48.5","330.9","1.8","2.5","148.0"
"Chris Olave","NO","WR12","0.0","0.1","0.0","83.0","1,138.7","5.7","1.2","145.9"
"Jonathan Taylor","IND","RB25","195.4","937.1","5.7","24.8","171.0","0.6","1.6","145.7"
"Deebo Samuel","SF","WR13","40.9","242.5","2.3","68.4","859.3","4.0","1.3","145.5"
"David Montgomery","DET","RB26","191.8","765.2","6.1","33.4","271.4","1.1","1.0","145.0"
"James Cook","BUF","RB27","162.7","813.6","4.7","35.5","263.2","1.7","1.4","143.5"
"Tee Higgins","CIN","WR14","0.5","2.2","0.0","80.4","1,056.0","6.3","0.3","143.4"
"Christian Watson","GB","WR15","8.2","66.1","0.9","69.4","942.4","6.0","0.2","141.9"
"Amari Cooper","CLE","WR16","0.5","1.4","0.0","73.3","1,006.8","6.8","0.1","141.3"
"DK Metcalf","SEA","WR17","0.1","1.0","0.0","83.0","1,006.3","6.9","0.7","140.4"
"Javonte Williams","DEN","RB28","173.3","801.7","4.7","37.0","253.2","1.4","1.5","138.9"
"DeVonta Smith","PHI","WR18","0.0","0.1","0.0","83.3","1,029.9","6.0","0.6","138.0"
"Calvin Ridley","JAC","WR19","2.1","7.4","0.0","80.7","999.5","6.3","0.5","137.6"
"Alvin Kamara","NO","RB29","171.4","701.2","3.5","41.8","359.5","1.7","1.2","134.5"
"DJ Moore","CHI","WR20","5.7","35.6","0.1","67.5","922.0","6.3","0.3","133.3"
"Mike Williams","LAC","WR21","0.9","4.4","0.0","70.5","955.9","5.8","0.1","130.6"
"Mike Evans","TB","WR22","0.0","6.7","0.0","70.8","969.3","5.5","0.1","130.1"
"Keenan Allen","LAC","WR23","1.3","7.2","0.0","90.9","976.6","5.4","0.6","129.7"
"Raheem Mostert","MIA","RB30","158.7","779.1","4.3","30.8","204.9","1.2","1.0","129.6"
